policy,schd_time,sensors,start_soc,end_soc,exed,exe_time,priority,info
ES-Adap,2017-06-12 20:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1197.3581719444433,1047.3581719444433,True,2017-06-12 20:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T20:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T20:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T20:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T20:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-13 00:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1036.247060833332,886.247060833332,True,2017-06-13 00:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-13T00:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-13T00:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-13T00:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-13T00:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-13 04:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",875.1359497222206,725.1359497222206,True,2017-06-13 04:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-13T04:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-13T04:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-13T04:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-13T04:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-13 12:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1054.591399499998,904.591399499998,True,2017-06-13 12:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-13T12:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-13T12:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-13T12:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-13T12:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-13 16:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1122.5923050555534,972.5923050555534,True,2017-06-13 16:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-13T16:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-13T16:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-13T16:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-13T16:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-13 20:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1008.4754347777754,858.4754347777754,True,2017-06-13 20:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-13T20:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-13T20:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-13T20:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-13T20:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-14 00:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",847.3643236666641,697.3643236666641,True,2017-06-14 00:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-14T00:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-14T00:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-14T00:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-14T00:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-14 08:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",717.5691112777747,567.5691112777747,True,2017-06-14 08:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-14T08:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-14T08:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-14T08:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-14T08:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-14 16:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",924.0641473888854,774.0641473888854,True,2017-06-14 16:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-14T16:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-14T16:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-14T16:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-14T16:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-15 00:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",778.3938366666629,628.3938366666629,True,2017-06-15 00:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-15T00:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-15T00:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-15T00:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-15T00:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
